"","x"
"1","age classes"
"2","aimophila aestivalis"
"3","associated species"
"4","avian communities"
"5","avian community"
"6","avian species"
"7","bachman's sparrow"
"8","bachman's sparrows"
"9","bark beetle"
"10","bark beetles"
"11","basal area"
"12","beetle outbreaks"
"13","biodiversity conservation"
"14","biological diversity"
"15","bird abundance"
"16","bird assemblages"
"17","bird communities"
"18","bird community"
"19","bird community composition"
"20","bird diversity"
"21","bird populations"
"22","bird species"
"23","bird species richness"
"24","black hills"
"25","black spruce"
"26","boreal forest"
"27","boreal forests"
"28","breast height"
"29","breasted nuthatch"
"30","breeding birds"
"31","breeding season"
"32","breeding seasons"
"33","brown creeper"
"34","burn severity"
"35","burned forest"
"36","burned forests"
"37","burned plots"
"38","burned sites"
"39","canopy cover"
"40","canopy forests"
"41","cavity nesters"
"42","cavity nesting"
"43","cavity trees"
"44","certhia americana"
"45","climate change"
"46","coarse woody debris"
"47","coastal plain"
"48","cockaded woodpecker"
"49","cockaded woodpeckers"
"50","colaptes auratus"
"51","colinus virginianus"
"52","community composition"
"53","community structure"
"54","conifer forest"
"55","conifer forests"
"56","coniferous forest"
"57","coniferous forests"
"58","conservation biology"
"59","conservation concern"
"60","control plots"
"61","dead trees"
"62","dead wood"
"63","dependent species"
"64","diameter snags"
"65","diameter trees"
"66","disturbance regime"
"67","disturbance regimes"
"68","dormant season"
"69","ecological processes"
"70","ecological restoration"
"71","ecological society"
"72","ecosystem management"
"73","ecosystem restoration"
"74","eglin air force base"
"75","elsevier science"
"76","endangered species"
"77","environmental variables"
"78","fire ecology"
"79","fire effects"
"80","fire exclusion"
"81","fire frequency"
"82","fire history"
"83","fire intensity"
"84","fire management"
"85","fire regime"
"86","fire regimes"
"87","fire severity"
"88","fire suppression"
"89","fire surrogate"
"90","food resources"
"91","foraging behavior"
"92","foraging habitat"
"93","forest and woodland"
"94","forest conditions"
"95","forest ecosystems"
"96","forest fire"
"97","forest fires"
"98","forest floor"
"99","forest fragmentation"
"100","forest habitat"
"101","forest landscape"
"102","forest landscapes"
"103","forest management"
"104","forest management practices"
"105","forest managers"
"106","forest patches"
"107","forest restoration"
"108","forest service"
"109","forest species"
"110","forest stands"
"111","forest structure"
"112","forest type"
"113","forest types"
"114","forestry practices"
"115","frequent prescribed"
"116","fuel loads"
"117","fuel reduction"
"118","fuel reduction treatments"
"119","future research"
"120","ground cover"
"121","growth forest"
"122","growth forests"
