"","x"
"home range sizes",80
"breeding range",65
"broad range",56
"cascade range",173
"geographic range",55
"natural range",61
"piranga ludoviciana",71
"range expansion",40
"wide range",77
"average size",74
"body size",30
"brood size",45
"clutch size",137
"patch size",149
"sample sizes",50
"size classes",104
"size distributions",78
"territory size",37
"tree size",134
"bark beetle activity",113
"bark beetle outbreaks",70
"bark samples",38
"bark thickness",22
"inner bark",28
"spruce bark",58
"tree bark",37
"beetle activity",113
"beetle assemblages",77
"beetle populations",121
"beetle species",87
"boring beetle larvae",99
"boring beetles",50
"saproxylic beetles",131
"southern pine beetle",155
"spruce beetle",80
"western pine beetle",45
"low basal",84
"snag basal",86
"stand basal",97
"tree basal",161
"burnt areas",56
"insect outbreaks",110
"cover type",80
"cover types",151
"dense cover",48
"ecosystem recovery",61
"forb cover",58
"grass cover",76
"herbaceous cover",177
"herbaceous ground cover",73
"land cover",83
"percent canopy cover",91
"percent cover",106
"population recovery",59
"recovery plan",40
"understory cover",49
"vegetation cover",163
"vegetative cover",74
"artificial cavities",66
"excavated cavities",119
"tree cavities",152
"bearing trees",74
"canopy trees",142
"coniferous trees",47
"decayed trees",69
"deciduous trees",151
"fir trees",69
"foraging trees",133
"individual trees",97
"larger diameter trees",84
"larger trees",102
"live residual trees",93
"living trees",45
"mature trees",104
"nesting trees",79
"overstory trees",125
"pine trees",155
"random trees",68
"recently dead trees",114
"regression trees",74
"residual trees",131
"roost trees",66
"tree age",84
"tree ages",77
"tree canopy",66
"tree characteristics",78
"tree death",59
"tree densities",88
"tree diameter",150
"tree diseases",66
"tree height",54
"tree hollow",53
"tree hollows",78
"tree injury",40
"tree pipit",34
"tree selection",123
"tree species",554
"tree species composition",90
"tree survival",57
"tree use",62
"coarse woody debris volume",78
"dead branches",63
"black woodpecker",35
"cockaded woodpecker habitat",64
"cockaded woodpecker population",61
"down wood",78
"downy woodpecker",89
"eastern wood",121
"forest and woodland",445
"hairy woodpecker nests",70
"hardwood forest",194
"hardwood forests",248
"hardwood midstory",222
"hardwood species",93
"hardwood stands",161
"longleaf pine flatwoods",99
"mixed hardwood forests",86
"nesting woodpeckers",53
"oak woodlands",133
"pileated woodpeckers",73
"pine flatwoods",142
"pine woodlands",117
"spotted woodpecker",144
"toed woodpecker",163
"toed woodpecker picoides tridactylus",99
"toed woodpeckers",137
"upland hardwood",134
"upland hardwood forest",96
"western wood",61
"wood borers",59
"wood decay",55
"wood products",56
"wood thrush",82
"wood thrushes",67
"woodland conditions",85
"woodpecker abundance",48
"woodpecker age",38
"woodpecker foraging",137
"woodpecker habitat",178
"woody material",49
"woody plant species",59
"woody species",131
"woody stems",78
"larger diameter",163
"decayed snags",87
"fir snags",76
"pine snags",132
"ponderosa pine snags",60
"snag availability",92
"snag characteristics",111
"snag densities",161
"snag dynamics",77
"snag recruitment",42
"snag use",80
"british ecological society",108
"disturbance ecology",39
"ecological benefits",59
"ecological consequences",141
"ecological effects",92
"ecological factors",61
"ecological functions",74
"ecological impacts",50
"ecological importance",44
"ecological integrity",60
"ecological relationships",73
"ecological requirements",33
"ecological restoration",378
"ecological restoration international",67
"ecological role",110
"ecological society",386
"ecological values",28
"foraging ecology",60
"landscape ecology",96
"restoration ecology",36
"terrestrial ecology",44
"ecosystem processes",134
"natural disturbance processes",64
"natural processes",55
"population processes",41
"successional processes",73
"food availability",164
"food source",64
"food sources",24
"food supplementation",40
"food supply",72
"available resources",49
"forest resources",77
"habitat resources",36
"natural resources",25
"resource availability",58
"resource managers",50
"resource selection",202
"forage availability",55
"foraging birds",109
"foraging guild",117
"foraging guilds",73
"foraging habitat selection",76
"foraging opportunities",92
"foraging species",110
"foraging substrate",74
"foraging substrates",77
"fire behavior",136
"nesting behavior",60
"available habitat",95
"breeding habitat",161
"burned habitat",85
"burned habitats",128
"forest habitat",450
"forest habitats",119
"forested habitats",43
