group,term,x
bird,black woodpecker,35
bird,cockaded woodpecker habitat,64
bird,cockaded woodpecker population,61
bird,downy woodpecker,89
bird,hairy woodpecker nests,70
bird,nesting woodpeckers,53
bird,pileated woodpeckers,73
bird,spotted woodpecker,144
bird,toed woodpecker,163
bird,toed woodpecker picoides tridactylus,99
bird,toed woodpeckers,137
bird,woodpecker age,38
bird,forest bird communities,128
bird,bird survey,48
bird,bird surveys,107
bird,breeding bird community,158
bird,picoides albolarvatus,116
bird,picoides pubescens,80
bird,picoides tridactylus,156
"bird, process",woodpecker foraging,137
"bird,response",woodpecker habitat,178
"bird, response",woodpecker abundance,48
fire,burnt areas,56
fire,fire behavior,136
fire,burned habitat,85
fire,burned habitats,128
fire,postfire habitats,60
fire,burned conifer forests,61
fire,burned pine forests,108
fire,postfire forest,68
fire,postfire forests,151
fire,severely burned forests,52
fire,burned pine,169
fire,burned ponderosa pine,174
fire,biscuit fire,60
fire,contemporary fires,56
fire,fire disturbance,147
fire,fire edges,53
fire,fire season,174
fire,fire weather,76
fire,frequent fires,120
fire,intensity fires,68
fire,low severity fires,79
fire,postfire logging,77
fire,recent fires,63
fire,replacement fires,88
fire,season fires,150
fire,severe fire,162
fire,severe fires,141
fire,severe wildfire,67
fire,severe wildfires,91
fire,severity wildfire,125
fire,severity wildfires,84
fire,summer wildfire,135
fire,surface fires,68
fire,wildfire activity,90
fire,wildland fire,132
fire,burn frequency,68
fire,burn intervals,106
fire,burn severities,116
fire,burn treatments,174
fire,burn units,56
fire,burned landscape,65
fire,burned treatments,94
fire,dormant season burning,72
fire,dormant season burns,47
fire,frequent burning,118
fire,recent burns,118
fire,season burning,158
fire,spring burn,83
fire,spring burning,115
"fire, process",postfire succession,72
no,food supplementation,40
no,foraging guild,117
no,foraging guilds,73
no,foraging species,110
no,forest habitat,450
no,forest habitats,119
no,forested habitats,43
no,grassland habitats,74
no,habitat alteration,108
no,habitat association,155
no,habitat associations,182
no,habitat conservation,121
no,habitat distribution,77
no,habitat elements,63
no,habitat factors,45
no,habitat fragmentation,238
no,habitat heterogeneity,124
no,habitat loss,555
no,habitat management,674
no,habitat patch,62
no,habitat patches,103
no,habitat preferences,108
no,habitat relationships,146
no,habitat requirements,180
no,habitat scale,52
no,habitat specialists,37
no,habitat species,301
no,habitat structures,133
no,habitat type,189
no,habitat types,178
no,habitat variables,288
no,pine habitat,117
no,pine habitats,63
no,riparian habitats,110
no,roosting habitat,108
no,savanna habitat,113
no,source habitat,165
no,successional habitat,162
no,successional habitats,102
no,unburned habitat,49
no,unburned habitats,135
no,wildlife habitat,386
no,forest bird species,157
no,forest birds,180
no,unburned forest,279
no,unburned forests,349
no,mountain bluebird,143
no,mountain bluebirds,66
no,nesting bird,417
no,nesting bird species,216
no,nesting birds,911
no,unburned sites,195
no,affected survival,40
no,unburned stands,179
no,fire exclusion,423
no,fire hazard,72
no,fire suppression,964
no,fire surrogate,230
no,wildfire risk,55
no,unburned control,155
no,unburned control plots,70
no,unburned controls,69
no,unburned patches,72
no,unburned plots,120
no,bird conservation,151
no,bird diversity,202
no,bird richness,56
no,bird species,1954
no,bird species richness,209
no,breeding bird species,149
no,breeding birds,390
no,dependent bird species,70
no,grassland birds,51
no,headed cowbird,138
no,individual birds,57
no,land birds,75
no,resident birds,55
no,western bluebird,274
no,wintering birds,41
process,snag basal,86
process,foraging trees,133
process,tree survival,57
process,decayed snags,87
process,fir snags,76
process,pine snags,132
process,ponderosa pine snags,60
process,snag availability,92
process,snag characteristics,111
process,snag densities,161
process,snag dynamics,77
process,snag recruitment,42
process,snag use,80
process,foraging ecology,60
process,food availability,164
process,food source,64
process,food sources,24
process,food supply,72
process,habitat resources,36
process,forage availability,55
process,foraging birds,109
process,foraging habitat selection,76
process,foraging opportunities,92
process,foraging substrate,74
process,foraging substrates,77
process,available habitat,95
process,breeding habitat,161
process,habitat availability,104
process,habitat changes,107
process,habitat degradation,124
process,habitat utilization,180
process,potential habitat,58
process,preferred habitat,51
process,quality habitat,120
process,daily nest survival,110
process,nest survival rates,141
process,annual survival,73
process,apparent survival,42
process,daily survival rates,180
process,juvenile survival,52
process,survival estimates,63
response,habitat suitability models,85
response,occupied habitats,34
response,bird densities,146
response,bird density,180
response,bird populations,254
response,total bird abundance,135
response,total bird density,64
process,home range sizes,80
no,breeding range,65
no,broad range,56
no,cascade range,173
no,geographic range,55
no,natural range,61
no,piranga ludoviciana,71
no,range expansion,40
no,wide range,77
no,average size,74
no,body size,30
process,brood size,45
process,clutch size,137
no,patch size,149
no,sample sizes,50
no,size classes,104
no,size distributions,78
process,territory size,37
process,tree size,134
process,bark beetle activity,113
process,bark beetle outbreaks,70
process,bark samples,38
process,bark thickness,22
no,inner bark,28
no,spruce bark,58
no,tree bark,37
process,beetle activity,113
process,beetle assemblages,77
process,beetle populations,121
process,beetle species,87
process,boring beetle larvae,99
process,boring beetles,50
process,saproxylic beetles,131
process,southern pine beetle,155
process,spruce beetle,80
process,western pine beetle,45
no,low basal,84
process,stand basal,97
process,tree basal,161
process,insect outbreaks,110
no,cover type,80
no,cover types,151
process,dense cover,48
no,ecosystem recovery,61
process,forb cover,58
process,grass cover,76
process,herbaceous cover,177
process,herbaceous ground cover,73
no,land cover,83
process,percent canopy cover,91
no,percent cover,106
response,population recovery,59
no,recovery plan,40
process,understory cover,49
process,vegetation cover,163
process,vegetative cover,74
no,artificial cavities,66
process,excavated cavities,119
process,tree cavities,152
no,bearing trees,74
no,canopy trees,142
no,coniferous trees,47
process,decayed trees,69
no,deciduous trees,151
no,fir trees,69
no,individual trees,97
process,larger diameter trees,84
process,larger trees,102
process,live residual trees,93
process,living trees,45
no,mature trees,104
process,nesting trees,79
no,overstory trees,125
no,pine trees,155
no,random trees,68
process,recently dead trees,114
no,regression trees,74
no,residual trees,131
no,roost trees,66
process,tree age,84
process,tree ages,77
process,tree canopy,66
process,tree characteristics,78
process,tree death,59
process,tree densities,88
process,tree diameter,150
no,tree diseases,66
no,tree height,54
no,tree hollow,53
no,tree hollows,78
no,tree injury,40
no,tree pipit,34
no,tree selection,123
no,tree species,554
no,tree species composition,90
