"","x"
"1","a"
"2","about"
"3","above"
"4","across"
"5","after"
"6","afterwards"
"7","again"
"8","against"
"9","all"
"10","almost"
"11","alone"
"12","along"
"13","already"
"14","also"
"15","although"
"16","always"
"17","am"
"18","among"
"19","amongst"
"20","amoungst"
"21","amount"
"22","an"
"23","and"
"24","another"
"25","any"
"26","anybody"
"27","anyhow"
"28","anyone"
"29","anything"
"30","anyway"
"31","anywhere"
"32","are"
"33","area"
"34","areas"
"35","aren't"
"36","around"
"37","as"
"38","ask"
"39","asked"
"40","asking"
"41","asks"
"42","at"
"43","away"
"44","b"
"45","back"
"46","backed"
"47","backing"
"48","backs"
"49","be"
"50","became"
"51","because"
"52","become"
"53","becomes"
"54","becoming"
"55","been"
"56","before"
"57","beforehand"
"58","began"
"59","behind"
"60","being"
"61","beings"
"62","below"
"63","beside"
"64","besides"
"65","best"
"66","better"
"67","between"
"68","beyond"
"69","big"
"70","bill"
"71","both"
"72","bottom"
"73","but"
"74","by"
"75","c"
"76","call"
"77","came"
"78","can"
"79","can't"
"80","cannot"
"81","cant"
"82","case"
"83","cases"
"84","certain"
"85","certainly"
"86","clear"
"87","clearly"
"88","co"
"89","come"
"90","con"
"91","could"
"92","couldn't"
"93","couldnt"
"94","cry"
"95","d"
"96","de"
"97","describe"
"98","detail"
"99","did"
"100","didn't"
"101","differ"
"102","different"
"103","differently"
"104","do"
"105","does"
"106","doesn't"
"107","doing"
"108","don't"
"109","done"
"110","down"
"111","downed"
"112","downing"
"113","downs"
"114","due"
"115","during"
"116","e"
"117","each"
"118","early"
"119","eg"
"120","eight"
"121","either"
"122","eleven"
"123","else"
"124","elsewhere"
"125","empty"
"126","end"
"127","ended"
"128","ending"
"129","ends"
"130","enough"
"131","etc"
"132","even"
"133","evenly"
"134","ever"
"135","every"
"136","everybody"
"137","everyone"
"138","everything"
"139","everywhere"
"140","except"
"141","f"
"142","face"
"143","faces"
"144","fact"
"145","facts"
"146","far"
"147","felt"
"148","few"
"149","fifteen"
"150","fify"
"151","fill"
"152","find"
"153","finds"
"154","fire"
"155","first"
"156","five"
"157","for"
"158","former"
"159","formerly"
"160","forty"
"161","found"
"162","four"
"163","from"
"164","front"
"165","full"
"166","fully"
"167","further"
"168","furthered"
"169","furthering"
"170","furthers"
"171","g"
"172","gave"
